flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 1920 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : none
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 2229 symbols
  efficiency    : 1.72 bits/second/Hz
SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
8.000000;1;1;0;1;0;1;0;0;2;1;1;1 
7.900000;3;2;1;0;2;0;0;0;1;0;1;1 
7.800000;1;2;0;4;0;1;2;0;1;0;1;1 
7.700000;2;1;2;3;3;2;1;2;3;1;1;1 
7.600000;1;0;1;1;2;3;1;1;2;2;1;1 
7.500000;5;0;0;0;2;2;0;5;3;0;1;1 
7.400001;5;4;1;3;3;4;1;1;4;1;1;1 
7.300001;2;2;0;6;3;5;0;3;2;4;1;1 
7.200001;0;2;1;3;3;2;1;4;2;0;1;1 
7.100001;1;6;8;1;4;5;5;2;4;3;1;1 
7.000001;2;5;3;1;4;3;3;6;4;4;1;1 
6.900001;3;5;5;3;1;4;6;4;7;3;1;1 
6.800001;4;4;6;4;5;2;7;6;9;7;1;1 
6.700001;10;3;5;8;3;6;1;4;2;7;1;1 
6.600001;4;7;6;8;6;3;8;11;11;4;1;1 
6.500001;2;8;9;8;6;2;5;3;8;9;1;1 
6.400002;7;11;11;4;9;10;9;3;10;9;1;1 
6.300002;6;9;8;9;8;9;9;2;5;12;1;1 
6.200002;4;9;8;5;9;13;9;7;11;3;1;1 
6.100002;9;11;10;11;9;7;12;12;6;10;1;1 
6.000002;8;12;7;11;10;9;15;10;9;6;1;1 
5.900002;16;8;10;9;12;14;7;7;13;10;1;1 
5.800002;12;13;12;14;12;12;13;8;14;18;1;1 
5.700002;20;17;17;15;13;12;18;11;9;13;1;1 
5.600002;20;14;14;13;13;19;14;18;19;16;1;1 
5.500002;12;20;14;18;14;19;21;23;25;17;1;1 
5.400002;8;25;14;25;14;14;21;13;17;21;1;1 
5.300003;22;18;19;12;-1;20;19;16;30;8;1;1 
5.200003;31;27;16;18;23;21;17;16;19;20;1;1 
5.100003;26;28;25;24;18;26;32;22;27;16;1;1 
5.000003;24;26;22;21;24;23;25;18;33;26;1;1 
4.900003;24;28;36;30;20;23;31;21;32;32;1;1 
4.800003;30;22;29;35;39;29;33;40;25;30;1;1 
4.700003;27;37;27;36;39;30;25;25;30;29;1;1 
4.600003;26;32;31;33;41;28;36;38;46;35;1;1 
4.500003;31;42;29;43;63;32;40;34;32;39;1;1 
4.400003;39;38;52;56;34;37;41;38;39;33;1;1 
4.300004;49;53;48;51;43;49;44;48;46;37;1;1 
4.200004;47;48;39;49;48;52;43;36;58;46;1;1 
4.100004;52;50;42;47;52;51;45;43;41;45;1;1 
4.000004;58;37;43;40;53;66;50;42;96;46;1;1 
3.900004;65;59;48;65;60;60;52;50;47;62;1;1 
3.800004;72;59;69;58;43;49;61;54;51;45;1;1 
3.700004;71;82;56;77;-1;64;65;69;66;62;1;1 
3.600004;71;79;80;86;70;77;70;75;81;86;1;1 
3.500004;69;80;66;75;76;1979;79;81;74;70;1;1 
3.400004;80;85;69;72;4138;68;97;80;68;-1;1;1 
3.300004;94;69;73;78;75;77;85;104;73;78;1;1 
3.200005;81;84;86;97;88;78;90;87;96;-1;1;1 
3.100005;4196;-1;98;97;71;83;91;97;76;144;1;1 
3.000005;92;101;106;92;78;91;8337;87;68;94;1;1 
2.900005;101;114;101;98;89;114;123;95;122;112;1;1 
2.800005;105;88;118;116;100;135;4235;105;84;106;1;1 
2.700005;122;129;124;126;-1;109;117;107;115;102;1;1 
2.600005;123;-1;110;125;111;115;123;109;133;99;1;1 
2.500005;-1;126;136;101;124;105;118;-1;8404;116;1;1 
2.400005;133;1849;130;137;139;128;122;133;61;117;1;1 
2.300005;201;122;134;147;149;131;167;196;132;1957;1;1 
2.200006;105;2137;141;144;6061;1538;-1;143;141;1903;1;1 
2.100006;158;119;4248;163;151;1981;115;161;168;-1;1;1 
2.000006;156;168;177;-1;133;153;-1;-1;-1;2182;1;1 
1.900006;213;146;1929;155;163;169;158;149;-1;173;1;1 
1.800006;-1;84;3184;189;146;156;145;165;168;162;1;1 
1.700006;186;177;199;-1;185;1875;-1;165;137;181;1;1 
1.600006;197;11440;205;-1;182;176;1885;192;169;-1;1;1 
1.500006;1715;186;-1;234;2248;-1;-1;183;-1;173;1;1 
1.400006;209;190;202;199;-1;-1;-1;205;5994;-1;1;1 
1.300006;-1;188;223;226;218;-1;212;190;212;198;1;1 
1.200006;-1;215;208;-1;-1;-1;240;1935;227;108;1;1 
1.100006;-1;228;-1;-1;-1;219;222;-1;205;242;1;1 
1.000005;1949;-1;-1;240;-1;1904;214;304;226;222;1;1 
0.900005;250;-1;2300;-1;-1;-1;-1;239;234;8453;1;1 
0.800005;232;256;18355;224;-1;-1;-1;255;255;1892;1;1 
0.700005;292;214;1904;243;1959;268;-1;1973;302;101;1;1 
0.600005;-1;-1;251;-1;282;-1;277;-1;-1;1913;1;1 
0.500005;-1;1933;254;250;-1;-1;284;298;-1;309;1;1 
0.400005;-1;-1;303;-1;276;260;365;335;385;-1;1;1 
0.300005;-1;277;8533;-1;293;-1;-1;-1;-1;1783;1;1 
0.200005;-1;-1;-1;-1;-1;-1;10212;-1;-1;-1;1;1 
0.100005;-1;252;-1;1904;-1;1885;336;345;-1;-1;1;1 
0.000005;-1;313;345;-1;912;1943;1918;-1;1775;328;1;1 
