flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 2160 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : SEC-DEC(72,64)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 2469 symbols
  efficiency    : 1.56 bits/second/Hz
SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
8.000000;0;0;0;0;0;0;0;0;0;0;1;1 
7.900000;0;0;0;0;0;0;0;0;0;0;1;1 
7.800000;0;0;0;0;0;0;0;0;0;0;1;1 
7.700000;0;0;0;0;0;0;0;0;0;0;1;1 
7.600000;0;0;0;0;0;0;0;0;0;0;1;1 
7.500000;0;0;0;0;0;0;2;0;0;1;1;1 
7.400001;2;0;0;0;0;0;0;0;0;0;1;1 
7.300001;0;0;0;0;0;0;0;0;0;0;1;1 
7.200001;0;0;0;0;0;0;0;2;0;0;1;1 
7.100001;0;0;0;0;0;2;0;0;0;0;1;1 
7.000001;0;0;0;0;0;0;2;2;0;0;1;1 
6.900001;0;0;0;0;0;0;0;0;2;0;1;1 
6.800001;0;0;0;0;0;0;0;0;0;0;1;1 
6.700001;0;0;0;2;0;0;0;0;0;4;1;1 
6.600001;0;0;0;0;0;0;2;0;4;0;1;1 
6.500001;0;2;0;0;0;0;0;2;1;0;1;1 
6.400002;2;2;2;0;0;0;0;0;0;0;1;1 
6.300002;0;0;4;0;2;0;0;0;1;0;1;1 
6.200002;0;2;0;0;0;4;0;2;0;0;1;1 
6.100002;4;2;2;0;0;2;2;4;0;2;1;1 
6.000002;0;0;2;2;0;1;2;4;0;4;1;1 
5.900002;6;3;2;2;0;2;0;4;0;0;1;1 
5.800002;5;0;5;5;1;0;6;1;4;4;1;1 
5.700002;5;1;0;4;2;0;4;0;2;4;1;1 
5.600002;20;5;0;1;0;3;2;4;0;7;1;1 
5.500002;4;12;4;2;0;4;1;2;4;0;1;1 
5.400002;3;3;10;2;6;6;5;2;7;14;1;1 
5.300003;9;2;8;6;-1;3;6;7;0;8;1;1 
5.200003;7;2;16;2;7;8;7;6;2;8;1;1 
5.100003;13;12;14;8;10;12;18;10;10;2;1;1 
5.000003;11;12;4;9;4;14;12;5;8;8;1;1 
4.900003;3;8;13;12;13;7;6;2;3;28;1;1 
4.800003;14;14;12;11;5;5;23;7;18;5;1;1 
4.700003;11;18;10;2;10;12;14;12;15;25;1;1 
4.600003;14;16;7;14;11;16;28;20;26;17;1;1 
4.500003;9;25;22;17;26;25;30;13;19;19;1;1 
4.400003;17;12;35;24;30;15;23;12;32;17;1;1 
4.300004;21;37;31;23;19;32;20;18;31;9;1;1 
4.200004;29;43;24;27;24;34;26;14;28;29;1;1 
4.100004;18;26;25;29;28;33;26;40;18;21;1;1 
4.000004;49;27;41;24;46;32;37;38;-1;29;1;1 
3.900004;41;46;31;50;60;1561;43;32;40;28;1;1 
3.800004;58;37;37;51;52;39;37;46;45;26;1;1 
3.700004;62;56;51;58;-1;42;49;44;44;33;1;1 
3.600004;45;57;40;52;45;54;42;46;51;51;1;1 
3.500004;60;55;46;47;54;64;78;78;73;45;1;1 
3.400004;78;53;46;64;75;44;1926;56;64;-1;1;1 
3.300004;67;56;57;49;67;54;55;1941;62;56;1;1 
3.200005;74;71;63;86;96;81;82;64;66;81;1;1 
3.100005;6045;-1;86;78;52;74;90;78;67;-1;1;1 
3.000005;89;80;98;85;79;49;10042;74;55;89;1;1 
2.900005;71;109;73;87;73;106;94;95;92;87;1;1 
2.800005;89;107;84;133;86;110;102;99;80;89;1;1 
2.700005;143;131;89;122;-1;99;92;107;117;97;1;1 
2.600005;105;104;139;118;121;122;134;100;107;109;1;1 
2.500005;121;117;122;95;109;103;111;122;10161;111;1;1 
