flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 2880 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : Hamming(12,8)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 3189 symbols
  efficiency    : 1.20 bits/second/Hz
SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
8.000000;0;0;0;0;0;0;0;0;0;0;1;1 
7.900000;0;0;0;0;0;0;0;0;0;0;1;1 
7.800000;0;0;0;0;0;0;0;0;0;0;1;1 
7.700000;0;0;0;0;0;0;0;0;0;0;1;1 
7.600000;0;0;0;0;0;0;0;0;0;0;1;1 
7.500000;0;0;0;0;0;0;0;0;0;0;1;1 
7.400001;0;0;0;0;0;0;0;0;0;0;1;1 
7.300001;0;0;0;0;0;0;0;0;0;0;1;1 
7.200001;0;0;0;0;0;0;0;0;0;0;1;1 
7.100001;0;0;0;2;0;0;0;0;0;0;1;1 
7.000001;0;0;0;0;0;0;0;0;0;1;1;1 
6.900001;0;0;0;0;0;0;0;0;0;0;1;1 
6.800001;0;0;0;0;0;0;0;0;3;0;1;1 
6.700001;0;0;0;0;0;0;0;0;0;0;1;1 
6.600001;0;0;0;0;0;0;0;3;0;0;1;1 
6.500001;0;0;1;0;0;0;0;0;0;0;1;1 
6.400002;0;0;0;0;0;0;0;0;0;0;1;1 
6.300002;0;0;2;0;0;0;1;0;0;0;1;1 
6.200002;0;0;0;0;0;0;0;0;0;0;1;1 
6.100002;0;0;0;0;0;0;0;0;0;0;1;1 
6.000002;0;1;0;0;0;0;0;0;0;0;1;1 
5.900002;0;0;3;0;0;0;0;0;0;0;1;1 
5.800002;3;2;0;0;6;1;0;0;2;0;1;1 
5.700002;0;3;0;0;3;2;1;0;0;0;1;1 
5.600002;0;0;0;0;0;3;1;3;2;0;1;1 
5.500002;1;5;5;1;2;0;0;0;0;0;1;1 
5.400002;0;4;5;2;0;1;0;1;5;3;1;1 
5.300003;0;0;1;5;-1;0;0;0;4;0;1;1 
5.200003;4;0;3;0;3;0;3;0;2;3;1;1 
5.100003;0;8;0;1;0;0;1;3;1;2;1;1 
5.000003;4;4;0;6;0;0;0;4;6;3;1;1 
4.900003;0;1;11;3;0;0;0;0;5;0;1;1 
4.800003;5;1;2;5;0;4;10;0;3;0;1;1 
4.700003;1;7;3;4;11;8;1;8;0;1;1;1 
4.600003;0;4;6;5;15;5;6;4;-1;7;1;1 
4.500003;2;7;13;5;9;2;10;4;6;5;1;1 
4.400003;8;0;5;12;6;6;5;3;8;1;1;1 
4.300004;11;7;5;13;10;11;7;7;14;11;1;1 
4.200004;7;10;9;4;5;6;12;0;13;7;1;1 
4.100004;10;9;7;11;20;4;5;3;11;8;1;1 
4.000004;17;11;11;18;17;4;14;12;1843;13;1;1 
3.900004;22;19;7;11;17;1563;11;7;1;12;1;1 
3.800004;18;18;8;18;7;14;11;15;10;9;1;1 
3.700004;24;15;16;24;-1;2;16;22;13;4;1;1 
3.600004;16;10;11;19;27;14;5;10;15;18;1;1 
3.500004;18;20;17;13;14;21;11;16;11;22;1;1 
3.400004;22;24;28;16;27;12;23;22;27;-1;1;1 
3.300004;11;21;18;45;21;17;34;1953;15;32;1;1 
3.200005;16;19;33;20;29;33;20;40;28;11;1;1 
3.100005;-1;29;35;43;19;33;20;39;25;-1;1;1 
3.000005;44;33;27;36;24;17;31;24;21;42;1;1 
2.900005;38;38;26;40;21;23;35;42;44;25;1;1 
2.800005;25;25;36;59;32;43;6076;38;36;46;1;1 
2.700005;51;48;45;47;-1;43;49;49;33;34;1;1 
2.600005;51;46;59;1955;34;43;44;44;57;43;1;1 
2.500005;68;42;59;38;49;32;68;62;81;50;1;1 
