flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 3840 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : Golay(24,12)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 4149 symbols
  efficiency    : 0.93 bits/second/Hz
SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
8.000000;0;0;0;0;0;0;0;0;0;0;1;1 
7.900000;0;0;0;0;0;0;0;0;0;0;1;1 
7.800000;0;0;0;0;0;0;0;0;0;0;1;1 
7.700000;0;0;0;0;0;0;0;0;0;0;1;1 
7.600000;0;0;0;0;0;0;0;0;0;0;1;1 
7.500000;0;0;0;0;0;0;0;0;0;0;1;1 
7.400001;0;0;0;0;0;0;0;0;0;0;1;1 
7.300001;0;0;0;0;0;0;0;0;0;0;1;1 
7.200001;0;0;0;0;0;0;0;0;0;0;1;1 
7.100001;0;0;0;0;0;0;0;0;0;0;1;1 
7.000001;0;0;0;0;0;0;0;0;0;0;1;1 
6.900001;0;0;0;0;0;0;0;0;0;0;1;1 
6.800001;0;0;0;0;0;0;0;0;0;0;1;1 
6.700001;0;0;0;0;0;0;0;0;0;0;1;1 
6.600001;0;0;0;0;0;0;0;0;0;0;1;1 
6.500001;0;0;0;0;0;0;0;0;0;0;1;1 
6.400002;0;0;0;0;0;0;0;0;0;0;1;1 
6.300002;0;0;0;0;0;0;0;0;0;0;1;1 
6.200002;0;0;0;0;0;0;0;0;0;0;1;1 
6.100002;0;0;0;0;0;0;0;0;0;0;1;1 
6.000002;0;0;0;0;0;0;0;0;0;0;1;1 
5.900002;0;0;0;0;0;0;0;0;0;0;1;1 
5.800002;0;0;0;0;0;0;0;0;0;0;1;1 
5.700002;0;0;0;0;0;0;0;0;0;0;1;1 
5.600002;0;0;0;0;0;0;0;0;0;0;1;1 
5.500002;0;0;0;0;0;0;0;0;0;0;1;1 
5.400002;0;0;0;0;0;0;0;0;0;0;1;1 
5.300003;0;0;0;0;-1;0;0;0;0;0;1;1 
5.200003;0;0;0;0;0;0;0;0;0;0;1;1 
5.100003;0;0;0;0;0;0;1;0;0;0;1;1 
5.000003;0;0;0;0;0;0;0;0;0;0;1;1 
4.900003;0;0;0;0;0;0;0;0;0;0;1;1 
4.800003;0;0;0;0;0;0;0;0;0;2;1;1 
4.700003;0;0;0;0;0;0;0;0;0;0;1;1 
4.600003;0;0;0;0;0;0;0;0;-1;0;1;1 
4.500003;0;0;0;0;0;0;0;0;0;0;1;1 
4.400003;0;0;0;0;0;0;0;0;0;0;1;1 
4.300004;0;1;0;0;0;0;0;4;0;0;1;1 
4.200004;0;0;0;0;0;0;0;0;0;0;1;1 
4.100004;0;0;0;0;0;0;0;0;0;0;1;1 
4.000004;0;0;0;0;0;0;0;0;0;0;1;1 
3.900004;0;0;0;0;0;1541;0;0;0;0;1;1 
3.800004;0;0;0;0;0;0;0;0;0;0;1;1 
3.700004;0;-1;0;0;-1;0;2;0;0;0;1;1 
3.600004;1;0;0;5;0;0;5;2;0;0;1;1 
3.500004;0;0;0;0;0;2;2;0;0;1;1;1 
3.400004;0;3;0;2;3;0;0;0;0;-1;1;1 
3.300004;0;0;1;1;0;0;1;4;0;0;1;1 
3.200005;7;0;1;0;10;0;0;2;1839;0;1;1 
3.100005;6035;2;3;0;0;-1;2;2;3;-1;1;1 
3.000005;0;4;3;0;0;0;2;4;0;2;1;1 
2.900005;0;0;0;0;0;3;3;0;0;5;1;1 
2.800005;2;1;2;5;0;5;0;1;5;4;1;1 
2.700005;3;0;2;0;-1;7;2;2;5;0;1;1 
2.600005;0;0;6;0;0;6;21;891;6;4;1;1 
2.500005;13;0;0;0;9;5;5;7;18;13;1;1 
