flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 1920 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : none
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 2229 symbols
  efficiency    : 1.72 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.000000;8.000000;0;0;0;3;2;2;1;0;0;2;1;1 
0.000000;7.900000;3;1;0;0;0;1;1;0;0;3;1;1 
0.000000;7.800000;3;0;1;1;2;0;1;2;0;3;1;1 
0.000000;7.700000;0;1;1;2;2;0;1;1;3;3;1;1 
0.000000;7.600000;3;0;2;0;0;2;3;2;2;2;1;1 
0.000000;7.500000;0;1;5;1;1;1;1;0;1;0;1;1 
0.000000;7.400001;6;2;1;1;2;1;4;2;2;1;1;1 
0.000000;7.300001;2;5;1;3;3;1;1;1;3;2;1;1 
0.000000;7.200001;3;7;7;3;1;2;4;4;4;3;1;1 
0.000000;7.100001;3;1;3;4;5;2;2;3;3;2;1;1 
0.000000;7.000001;4;4;1;5;8;7;2;2;1;3;1;1 
0.000000;6.900001;2;2;7;2;4;1;1;0;3;9;1;1 
0.000000;6.800001;6;8;4;2;5;4;8;7;3;3;1;1 
0.000000;6.700001;4;3;2;6;8;6;4;7;10;5;1;1 
0.000000;6.600001;3;3;9;6;5;6;4;4;8;4;1;1 
0.000000;6.500001;7;4;8;3;5;5;6;3;7;10;1;1 
0.000000;6.400002;6;10;9;8;4;6;11;4;5;4;1;1 
0.000000;6.300002;6;5;4;9;7;5;6;10;3;10;1;1 
0.000000;6.200002;9;12;8;6;8;9;12;11;13;9;1;1 
0.000000;6.100002;15;10;8;7;8;10;4;11;9;8;1;1 
0.000000;6.000002;8;16;11;14;15;7;7;8;14;12;1;1 
0.000000;5.900002;7;12;14;7;7;14;15;5;15;7;1;1 
0.000000;5.800002;11;26;8;17;11;14;13;13;13;11;1;1 
0.000000;5.700002;18;9;13;18;7;12;8;16;13;12;1;1 
0.000000;5.600002;20;14;20;14;20;13;12;10;16;18;1;1 
