flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 2160 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : SEC-DEC(72,64)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 2469 symbols
  efficiency    : 1.56 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.010000;8.000000;0;0;2;2;0;0;0;2;0;0;1;1 
0.010000;7.900000;0;3;2;0;2;0;2;0;0;0;1;1 
0.010000;7.800000;2;2;3;0;0;2;0;2;0;3;1;1 
0.010000;7.700000;0;0;0;0;0;2;2;0;2;2;1;1 
0.010000;7.600000;2;4;0;2;0;0;2;0;0;4;1;1 
0.010000;7.500000;0;1;4;2;2;1;0;4;2;2;1;1 
0.010000;7.400001;0;0;2;2;2;8;2;2;2;2;1;1 
0.010000;7.300001;2;1;2;5;4;4;2;1;0;4;1;1 
0.010000;7.200001;1;3;0;0;2;4;2;8;0;0;1;1 
0.010000;7.100001;6;7;0;0;4;2;0;4;4;4;1;1 
0.010000;7.000001;2;4;0;6;0;1;0;0;0;2;1;1 
0.010000;6.900001;0;2;10;0;0;2;0;4;3;0;1;1 
0.010000;6.800001;5;1;2;2;0;4;2;3;4;6;1;1 
0.010000;6.700001;9;0;2;4;3;2;2;6;1;4;1;1 
0.010000;6.600001;0;7;6;8;0;0;3;4;7;1;1;1 
0.010000;6.500001;2;0;4;4;6;4;8;0;6;0;1;1 
0.010000;6.400002;6;3;11;0;2;4;2;4;0;14;1;1 
0.010000;6.300002;9;5;9;2;2;9;2;3;8;1;1;1 
0.010000;6.200002;5;8;7;7;0;2;2;14;11;9;1;1 
0.010000;6.100002;2;10;7;2;7;6;0;4;4;4;1;1 
0.010000;6.000002;5;8;2;5;2;5;3;11;6;12;1;1 
0.010000;5.900002;7;4;8;14;3;8;5;7;3;2;1;1 
0.010000;5.800002;1;14;13;10;4;8;13;8;7;3;1;1 
0.010000;5.700002;2;11;20;13;9;13;8;20;2;10;1;1 
0.010000;5.600002;6;10;4;13;10;12;2;13;7;7;1;1 
0.010000;5.500002;19;9;18;3;12;12;6;5;17;14;1;1 
0.010000;5.400002;7;12;15;12;13;9;17;12;8;3;1;1 
0.010000;5.300003;17;22;5;8;14;19;11;12;19;9;1;1 
0.010000;5.200003;19;9;12;21;5;20;17;18;9;12;1;1 
0.010000;5.100003;21;16;14;19;7;6;16;21;6;17;1;1 
0.010000;5.000003;13;31;23;28;15;19;1911;15;13;16;1;1 
0.010000;4.900003;21;23;16;14;17;26;14;7;9;15;1;1 
0.010000;4.800003;17;28;17;28;33;24;30;35;12;26;1;1 
0.010000;4.700003;12;15;13;24;29;16;30;19;25;30;1;1 
0.010000;4.600003;36;32;35;18;18;51;26;19;33;32;1;1 
0.010000;4.500003;31;23;32;31;36;26;23;32;33;37;1;1 
0.010000;4.400003;42;38;31;37;18;19;24;17;32;40;1;1 
0.010000;4.300004;32;38;30;48;27;44;32;18;49;36;1;1 
0.010000;4.200004;40;40;53;31;37;38;37;33;33;28;1;1 
0.010000;4.100004;47;41;-1;55;48;43;41;30;42;47;1;1 
0.010000;4.000004;51;46;59;41;34;46;45;34;70;46;1;1 
0.010000;3.900004;45;42;35;36;39;63;51;37;1531;67;1;1 
0.010000;3.800004;45;49;49;50;85;53;64;62;51;81;1;1 
0.010000;3.700004;47;67;67;51;52;75;44;39;65;50;1;1 
0.010000;3.600004;67;72;-1;62;56;68;59;50;60;73;1;1 
0.010000;3.500004;56;72;80;76;71;83;81;75;67;43;1;1 
0.010000;3.400004;77;101;75;79;76;77;65;79;74;-1;1;1 
0.010000;3.300004;84;78;82;103;69;72;62;76;95;89;1;1 
0.010000;3.200005;118;79;106;78;76;77;81;91;81;80;1;1 
0.010000;3.100005;79;841;98;109;97;95;90;121;96;90;1;1 
0.010000;3.000005;1967;97;88;87;100;68;108;76;99;10153;1;1 
0.010000;2.900005;113;117;113;127;121;99;122;130;83;121;1;1 
0.010000;2.800005;107;83;125;106;124;-1;10131;101;107;119;1;1 
0.010000;2.700005;125;129;161;-1;86;101;114;105;113;109;1;1 
0.010000;2.600005;1669;131;99;149;100;119;113;133;113;129;1;1 
0.010000;2.500005;112;142;131;139;120;168;169;164;-1;116;1;1 
0.010000;2.400005;122;134;158;124;165;147;141;168;1765;151;1;1 
0.010000;2.300005;-1;148;119;1545;-1;1916;143;139;152;138;1;1 
0.010000;2.200006;-1;-1;-1;1360;161;3995;163;138;167;145;1;1 
0.010000;2.100006;171;-1;160;166;1954;153;157;134;-1;164;1;1 
0.010000;2.000006;1922;126;178;1944;171;182;175;151;191;183;1;1 
0.010000;1.900006;183;-1;175;168;163;1424;1864;-1;-1;190;1;1 
0.010000;1.800006;1844;203;201;180;213;-1;202;885;175;148;1;1 
0.010000;1.700006;183;214;217;172;177;202;-1;220;-1;170;1;1 
