flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 2880 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : Hamming(12,8)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 3189 symbols
  efficiency    : 1.20 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.010000;8.000000;0;0;0;0;0;0;0;0;0;0;1;1 
0.010000;7.900000;0;0;0;0;0;0;0;0;0;0;1;1 
0.010000;7.800000;0;0;0;0;0;0;0;0;0;1;1;1 
0.010000;7.700000;0;0;0;0;0;0;2;0;0;0;1;1 
0.010000;7.600000;0;0;0;0;0;0;0;0;0;1;1;1 
0.010000;7.500000;0;2;0;0;2;0;0;0;0;0;1;1 
0.010000;7.400001;1;1;0;0;0;2;0;0;0;0;1;1 
0.010000;7.300001;3;0;0;0;2;0;0;1;0;0;1;1 
0.010000;7.200001;0;0;0;0;0;0;0;0;0;1;1;1 
0.010000;7.100001;0;1;0;0;0;0;2;0;0;0;1;1 
0.010000;7.000001;0;0;0;0;0;0;0;0;0;0;1;1 
0.010000;6.900001;0;0;0;7;0;0;0;0;0;0;1;1 
0.010000;6.800001;0;0;5;0;0;0;0;2;2;0;1;1 
0.010000;6.700001;0;0;0;0;0;0;0;1;0;0;1;1 
0.010000;6.600001;5;3;0;0;1;0;2;1;0;1;1;1 
0.010000;6.500001;2;2;0;0;0;0;0;5;2;0;1;1 
0.010000;6.400002;0;0;0;0;0;0;3;2;0;1;1;1 
0.010000;6.300002;0;0;0;0;1;1;0;0;0;1;1;1 
0.010000;6.200002;0;0;1;0;0;0;0;2;1;3;1;1 
0.010000;6.100002;0;3;0;2;2;1;3;2;0;2;1;1 
0.010000;6.000002;0;0;3;1;0;0;2;1;0;2;1;1 
0.010000;5.900002;0;1;0;4;0;0;0;0;1;0;1;1 
0.010000;5.800002;0;1;0;3;3;0;1;3;0;1;1;1 
0.010000;5.700002;3;1;1;3;2;4;7;0;0;3;1;1 
0.010000;5.600002;0;5;3;4;6;0;0;2;4;2;1;1 
0.010000;5.500002;0;0;2;1;0;0;4;3;4;1;1;1 
0.010000;5.400002;2;2;1;2;2;6;1;6;1;1;1;1 
0.010000;5.300003;0;0;2;1;1;6;7;0;5;14;1;1 
0.010000;5.200003;3;7;4;3;2;1;9;5;3;7;1;1 
0.010000;5.100003;0;2;2;1;4;2;2;6;7;4;1;1 
0.010000;5.000003;4;5;0;1;4;8;1;1;5;0;1;1 
0.010000;4.900003;6;9;3;8;5;6;4;9;2;8;1;1 
0.010000;4.800003;16;4;11;8;4;4;7;6;10;6;1;1 
0.010000;4.700003;3;1;13;11;4;3;6;5;18;2;1;1 
0.010000;4.600003;14;4;6;12;1;8;3;9;18;5;1;1 
0.010000;4.500003;5;6;7;13;7;5;5;10;3;10;1;1 
0.010000;4.400003;6;3;16;12;15;8;9;9;9;16;1;1 
0.010000;4.300004;8;4;19;10;7;12;10;10;3;17;1;1 
0.010000;4.200004;12;6;20;10;5;14;18;11;14;11;1;1 
0.010000;4.100004;8;11;7;8;15;12;9;7;12;1512;1;1 
0.010000;4.000004;18;4;15;12;14;19;14;21;20;17;1;1 
0.010000;3.900004;21;15;20;15;-1;17;16;6;10;23;1;1 
0.010000;3.800004;30;16;20;19;24;15;17;29;19;16;1;1 
0.010000;3.700004;21;20;22;20;22;19;14;31;13;23;1;1 
0.010000;3.600004;24;27;27;34;20;22;31;11;16;15;1;1 
0.010000;3.500004;28;18;16;16;40;32;24;20;21;35;1;1 
0.010000;3.400004;24;24;21;20;19;34;32;32;29;34;1;1 
0.010000;3.300004;25;21;6090;34;28;13;27;33;24;24;1;1 
0.010000;3.200005;25;51;17;36;36;22;21;32;23;34;1;1 
0.010000;3.100005;31;33;26;-1;28;44;34;-1;29;29;1;1 
0.010000;3.000005;34;19;24;24;24;35;30;40;33;61;1;1 
0.010000;2.900005;1853;49;40;27;33;28;27;38;50;44;1;1 
0.010000;2.800005;1937;65;41;58;38;29;1984;30;54;38;1;1 
0.010000;2.700005;48;34;42;50;45;31;35;32;34;46;1;1 
0.010000;2.600005;59;67;55;48;68;68;46;47;43;1923;1;1 
0.010000;2.500005;78;-1;1999;-1;48;56;43;60;50;55;1;1 
0.010000;2.400005;92;59;70;67;57;39;58;66;56;62;1;1 
0.010000;2.300005;72;81;64;1844;68;61;59;56;66;77;1;1 
0.010000;2.200006;61;-1;5943;81;-1;87;59;74;43;77;1;1 
0.010000;2.100006;6027;57;85;87;70;83;90;1971;83;68;1;1 
0.010000;2.000006;1959;79;89;1956;73;84;-1;71;72;93;1;1 
0.010000;1.900006;1196;1967;98;99;81;108;109;84;82;107;1;1 
0.010000;1.800006;92;1385;1876;97;96;-1;-1;95;3926;94;1;1 
0.010000;1.700006;1274;103;83;100;-1;122;116;104;1677;88;1;1 
0.010000;1.600006;107;94;102;106;99;128;-1;-1;-1;1768;1;1 
0.010000;1.500006;-1;127;1794;2067;160;106;113;133;112;-1;1;1 
0.010000;1.400006;1946;122;-1;-1;130;144;113;-1;152;150;1;1 
0.010000;1.300006;1860;146;99;137;123;117;-1;1458;-1;-1;1;1 
0.010000;1.200006;-1;139;-1;145;-1;-1;132;152;1979;-1;1;1 
0.010000;1.100006;156;1886;-1;-1;-1;-1;-1;-1;-1;1270;1;1 
0.010000;1.000005;-1;1419;-1;135;157;1304;-1;-1;-1;147;1;1 
0.010000;0.900005;-1;194;1959;1955;209;153;163;-1;156;152;1;1 
0.010000;0.800005;217;1750;186;186;1867;210;-1;198;173;-1;1;1 
0.010000;0.700005;237;-1;181;204;176;-1;5876;238;-1;182;1;1 
0.010000;0.600005;217;1734;-1;-1;-1;239;-1;207;184;203;1;1 
0.010000;0.500005;244;238;204;-1;1409;-1;230;213;246;261;1;1 
