flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 9600 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : repeat(5)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 9909 symbols
  efficiency    : 0.39 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.100000;8.000000;1;0;0;0;0;0;0;0;1;0;1;1 
0.100000;7.900000;0;0;1;1;1;0;0;0;1;3;1;1 
0.100000;7.800000;1;0;0;0;1;0;1;1;0;0;1;1 
0.100000;7.700000;0;0;1;0;0;1;1;1;0;0;1;1 
0.100000;7.600000;0;0;0;1;0;1;0;0;0;0;1;1 
0.100000;7.500000;0;0;0;0;0;0;1;0;0;0;1;1 
0.100000;7.400001;0;0;1;1;1;0;2;2;0;0;1;1 
0.100000;7.300001;0;0;1;0;0;1;0;1;1;0;1;1 
0.100000;7.200001;0;1;0;0;1;0;0;2;1;1503;1;1 
0.100000;7.100001;1;1;1;2;1;0;0;0;1;0;1;1 
0.100000;7.000001;0;0;0;0;1;0;0;0;0;0;1;1 
0.100000;6.900001;0;0;0;0;0;1;0;3;0;0;1;1 
0.100000;6.800001;0;1;1;3;1;2;0;1;0;1;1;1 
0.100000;6.700001;2;0;0;1;1;0;1;0;1;3;1;1 
0.100000;6.600001;0;1;0;0;1;0;0;1;1;0;1;1 
0.100000;6.500001;0;0;0;0;0;1;0;2;2;0;1;1 
0.100000;6.400002;0;0;1;2;1;0;1;1;1;1;1;1 
0.100000;6.300002;1;0;1;0;1;0;0;0;1;0;1;1 
0.100000;6.200002;0;1;0;0;1;1;2;1;0;1;1;1 
0.100000;6.100002;0;0;0;1;2;0;1;0;0;0;1;1 
0.100000;6.000002;0;0;2;0;3;0;1;2;1;1;1;1 
0.100000;5.900002;1;405;1;0;2;0;0;0;0;1;1;1 
0.100000;5.800002;0;0;1;1;1;1;0;0;0;0;1;1 
