flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 1920 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : none
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 2229 symbols
  efficiency    : 1.72 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.000000;3.000000;105;112;84;87;95;95;89;96;108;91;1;1 
0.005000;3.000000;103;96;101;101;8370;86;92;117;106;99;1;1 
0.010000;3.000000;110;-1;104;1892;106;114;138;92;108;95;1;1 
0.015000;3.000000;119;90;124;120;115;98;125;113;104;113;1;1 
0.020000;3.000000;145;112;102;-1;-1;114;-1;117;4297;103;1;1 
0.025000;3.000000;107;124;122;119;109;139;119;113;119;131;1;1 
0.030000;3.000000;137;-1;145;132;119;123;132;125;131;139;1;1 
0.035000;3.000000;142;115;8271;161;140;135;122;156;143;157;1;1 
0.040000;3.000000;132;128;155;139;175;139;144;-1;139;129;1;1 
0.045000;3.000000;150;128;145;162;146;145;135;149;132;140;1;1 
0.050000;3.000000;156;162;171;152;148;163;142;147;152;135;1;1 
0.055000;3.000000;160;161;147;181;146;166;169;151;168;1794;1;1 
0.060000;3.000000;139;158;158;168;180;154;152;171;169;175;1;1 
0.065000;3.000000;196;-1;156;211;165;175;-1;151;183;199;1;1 
0.070000;3.000000;183;1911;183;8298;166;161;153;184;158;176;1;1 
0.075000;3.000000;181;180;177;193;167;161;175;4282;8378;195;1;1 
0.080000;3.000000;198;179;186;222;192;189;178;192;188;206;1;1 
0.085000;3.000000;193;199;201;-1;205;179;220;207;191;203;1;1 
0.090000;3.000000;161;199;186;178;218;192;204;208;1795;192;1;1 
0.095000;3.000000;-1;203;212;214;205;211;209;249;204;190;1;1 
0.100000;3.000000;240;225;199;227;209;222;210;187;207;227;1;1 
0.105000;3.000000;-1;214;-1;210;198;218;227;212;229;217;1;1 
0.110000;3.000000;237;248;224;221;-1;212;239;212;208;235;1;1 
0.115000;3.000000;268;233;203;201;239;243;-1;-1;235;232;1;1 
0.120000;3.000000;260;-1;226;229;246;239;223;231;222;252;1;1 
0.125000;3.000000;217;253;237;255;234;222;252;256;238;226;1;1 
0.130000;3.000000;229;256;268;247;264;229;2283;235;259;239;1;1 
0.135000;3.000000;245;273;276;264;129;246;262;270;265;227;1;1 
0.140000;3.000000;283;278;-1;238;246;274;283;240;242;256;1;1 
0.145000;3.000000;262;287;277;262;289;287;8479;252;246;279;1;1 
0.150000;3.000000;258;248;272;248;280;275;257;259;279;245;1;1 
