flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 3840 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : Golay(24,12)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 4149 symbols
  efficiency    : 0.93 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.000000;3.000000;6;-1;5;2;0;0;9;0;4;1;1;1 
0.005000;3.000000;3;0;6;3;3;0;3;-1;1;8;1;1 
0.010000;3.000000;-1;2;4;7;1;5;6;4;1;8;1;1 
0.015000;3.000000;0;-1;1;6;4;1;0;6;3;-1;1;1 
0.020000;3.000000;1;0;2;3;8;-1;4;11;0;9;1;1 
0.025000;3.000000;3;9;13;3;0;0;5;5;2;5;1;1 
0.030000;3.000000;0;6;6;3;3;3;0;15;0;7;1;1 
0.035000;3.000000;4;-1;7;3;8;10;18;5;4;8;1;1 
0.040000;3.000000;-1;5;3;7;16;12;1;-1;7;3;1;1 
0.045000;3.000000;10;19;5;7;-1;4;2;13;7;7;1;1 
0.050000;3.000000;2;10;5;7;-1;5;12;2;6;13;1;1 
0.055000;3.000000;10;17;10;8;12;10;3;3;21;-1;1;1 
0.060000;3.000000;11;10;12;4;4;9;0;20;11;-1;1;1 
0.065000;3.000000;13;12;15;16;8;17;15;22;21;11;1;1 
0.070000;3.000000;21;14;23;-1;-1;15;8;15;13;17;1;1 
0.075000;3.000000;23;8;22;16;21;25;45;7;32;24;1;1 
0.080000;3.000000;15;15;30;16;23;12;11;12;14;15;1;1 
0.085000;3.000000;25;21;41;28;16;36;16;33;22;26;1;1 
0.090000;3.000000;25;14;28;20;30;27;16;20;36;31;1;1 
0.095000;3.000000;27;28;30;21;31;39;42;40;27;28;1;1 
0.100000;3.000000;40;27;24;20;31;23;30;26;19;42;1;1 
0.105000;3.000000;54;32;48;28;27;22;-1;-1;39;-1;1;1 
0.110000;3.000000;26;37;27;48;43;39;25;47;30;35;1;1 
0.115000;3.000000;63;30;37;-1;51;41;35;45;48;37;1;1 
0.120000;3.000000;67;39;40;32;63;-1;65;24;43;1402;1;1 
0.125000;3.000000;1675;36;43;41;-1;47;50;-1;62;55;1;1 
0.130000;3.000000;42;39;50;34;35;73;35;55;1914;1856;1;1 
0.135000;3.000000;48;45;52;-1;-1;-1;74;39;50;35;1;1 
0.140000;3.000000;69;54;66;81;51;47;899;56;52;37;1;1 
0.145000;3.000000;52;56;75;56;46;64;64;37;40;108;1;1 
0.150000;3.000000;92;91;1733;56;1643;79;64;64;81;1853;1;1 
