flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 2400 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : SEC-DEC(39,32)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 2709 symbols
  efficiency    : 1.42 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.000000;3.000000;80;47;75;61;34;-1;66;69;1647;48;1;1 
0.005000;3.000000;58;1914;70;1765;46;66;1894;57;85;75;1;1 
0.010000;3.000000;80;86;50;61;100;64;75;73;86;70;1;1 
0.015000;3.000000;92;78;78;91;71;81;69;88;68;84;1;1 
0.020000;3.000000;64;92;76;56;75;105;104;101;91;95;1;1 
0.025000;3.000000;96;98;84;85;1926;-1;99;111;78;88;1;1 
0.030000;3.000000;86;95;102;116;83;109;98;-1;107;91;1;1 
0.035000;3.000000;99;129;78;118;110;107;107;62;-1;106;1;1 
0.040000;3.000000;97;98;107;138;132;126;124;104;115;1793;1;1 
0.045000;3.000000;130;121;133;150;122;126;116;120;102;119;1;1 
0.050000;3.000000;123;137;123;121;151;-1;160;141;120;147;1;1 
0.055000;3.000000;-1;162;132;163;122;115;142;1844;125;122;1;1 
0.060000;3.000000;131;152;185;1708;140;-1;141;160;130;-1;1;1 
0.065000;3.000000;179;171;142;122;139;161;160;141;148;-1;1;1 
0.070000;3.000000;208;135;181;158;165;170;155;116;171;158;1;1 
0.075000;3.000000;152;160;155;180;148;186;166;168;138;169;1;1 
0.080000;3.000000;143;139;188;166;181;174;155;144;190;157;1;1 
0.085000;3.000000;171;157;177;195;150;157;172;187;203;172;1;1 
0.090000;3.000000;1446;167;147;171;201;192;176;178;195;180;1;1 
0.095000;3.000000;221;204;173;221;191;251;196;183;165;179;1;1 
0.100000;3.000000;203;175;205;198;203;1707;184;191;201;210;1;1 
0.105000;3.000000;165;191;248;234;201;203;220;225;214;204;1;1 
0.110000;3.000000;215;207;189;243;205;217;217;184;1830;201;1;1 
0.115000;3.000000;233;-1;204;249;-1;200;235;219;222;212;1;1 
0.120000;3.000000;229;254;182;236;209;210;223;267;216;206;1;1 
0.125000;3.000000;228;213;235;242;235;225;218;228;233;229;1;1 
0.130000;3.000000;212;212;263;242;233;253;1487;1963;245;234;1;1 
0.135000;3.000000;275;261;274;233;260;232;256;225;264;244;1;1 
0.140000;3.000000;251;242;265;259;278;230;249;-1;-1;268;1;1 
0.145000;3.000000;250;235;246;268;254;279;274;266;257;341;1;1 
0.150000;3.000000;304;245;268;238;239;277;242;241;252;273;1;1 
