flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 3840 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : Hamming(8,4)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 4149 symbols
  efficiency    : 0.93 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.000000;5.000000;1;0;3;2;6;0;0;0;2;0;1;1 
0.005000;5.000000;2;0;0;2;1;3;4;0;2;2;1;1 
0.010000;5.000000;6;0;5;0;3;2;2;0;0;1;1;1 
0.015000;5.000000;4;5;2;4;4;4;2;7;1;3;1;1 
0.020000;5.000000;2;5;5;8;-1;1;6;5;4;9;1;1 
0.025000;5.000000;6;-1;12;2;0;11;8;2;2;7;1;1 
0.030000;5.000000;10;3;6;16;7;10;7;3;12;17;1;1 
0.035000;5.000000;14;2;10;12;8;13;10;9;4;11;1;1 
0.040000;5.000000;17;7;11;9;7;11;8;5;4;9;1;1 
0.045000;5.000000;20;14;11;11;5;17;14;12;9;13;1;1 
0.050000;5.000000;13;22;15;10;9;15;11;12;10;10;1;1 
0.055000;5.000000;8;12;9;14;12;11;23;7;10;9;1;1 
0.060000;5.000000;20;26;22;17;18;17;21;25;15;14;1;1 
0.065000;5.000000;8;7;11;16;19;8;26;19;13;9;1;1 
0.070000;5.000000;18;17;21;22;18;11;13;20;13;20;1;1 
0.075000;5.000000;23;26;22;15;21;21;27;26;27;18;1;1 
0.080000;5.000000;23;27;16;21;23;24;24;23;26;25;1;1 
0.085000;5.000000;34;23;36;29;43;19;21;28;37;21;1;1 
0.090000;5.000000;21;11;27;37;15;25;30;27;33;45;1;1 
0.095000;5.000000;21;21;34;37;23;36;24;28;23;31;1;1 
0.100000;5.000000;37;24;27;47;25;31;38;36;29;53;1;1 
0.105000;5.000000;36;30;29;30;41;36;40;41;29;34;1;1 
0.110000;5.000000;29;43;37;44;52;48;51;37;34;47;1;1 
0.115000;5.000000;38;37;34;50;27;53;40;28;39;29;1;1 
0.120000;5.000000;40;42;51;40;35;28;32;45;30;43;1;1 
0.125000;5.000000;27;48;56;34;48;47;53;44;60;48;1;1 
0.130000;5.000000;44;50;57;49;70;60;39;52;57;53;1;1 
0.135000;5.000000;68;61;52;45;64;60;56;54;57;54;1;1 
0.140000;5.000000;61;47;59;56;-1;61;45;58;49;48;1;1 
0.145000;5.000000;39;61;69;54;46;55;59;45;45;54;1;1 
0.150000;5.000000;56;53;56;63;55;79;63;61;49;44;1;1 
