flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 5760 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : repeat(3)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 6069 symbols
  efficiency    : 0.63 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.000000;8.000000;0;0;0;0;0;0;0;0;0;0;1;1 
0.005000;8.000000;0;0;0;0;0;0;0;0;0;0;1;1 
0.010000;8.000000;0;0;0;0;0;0;0;0;0;0;1;1 
0.015000;8.000000;0;0;1;0;0;0;0;0;0;0;1;1 
0.020000;8.000000;0;0;0;0;0;0;0;0;0;1;1;1 
0.025000;8.000000;0;0;0;0;1;0;0;0;0;0;1;1 
0.030000;8.000000;1;1;0;0;0;1;1;0;0;0;1;1 
0.035000;8.000000;0;1;0;1;1;1;1;0;1;1;1;1 
0.040000;8.000000;1;1;1;0;1;0;0;0;1;0;1;1 
0.045000;8.000000;1;1;0;0;0;0;1;0;0;1;1;1 
0.050000;8.000000;2;1;1;2;0;1;1;1;1;2;1;1 
0.055000;8.000000;0;0;1;3;1;0;1;0;0;0;1;1 
0.060000;8.000000;2;1;2;1;5;0;3;0;1;2;1;1 
0.065000;8.000000;1;2;0;2;2;1;0;3;3;1;1;1 
0.070000;8.000000;2;2;2;2;5;4;1;2;1;1;1;1 
0.075000;8.000000;5;6;4;1;3;0;1;1;1;2;1;1 
0.080000;8.000000;1;0;3;4;1;3;5;4;2;4;1;1 
0.085000;8.000000;1;1;5;1;3;5;0;5;3;1;1;1 
0.090000;8.000000;3;3;2;0;2;3;2;2;3;5;1;1 
0.095000;8.000000;3;1;4;6;3;0;5;5;4;6;1;1 
0.100000;8.000000;0;2;3;3;3;1;2;7;4;1;1;1 
0.105000;8.000000;6;3;4;5;2;4;6;2;6;4;1;1 
0.110000;8.000000;2;2;2;6;5;8;4;6;6;3;1;1 
0.115000;8.000000;6;3;5;2;6;5;3;2;2;0;1;1 
0.120000;8.000000;10;4;6;1;6;3;8;3;4;7;1;1 
0.125000;8.000000;6;4;6;7;3;4;4;5;6;5;1;1 
0.130000;8.000000;3;6;5;6;2;4;3;5;6;2;1;1 
0.135000;8.000000;8;4;6;6;5;6;8;6;7;5;1;1 
0.140000;8.000000;8;5;7;7;4;5;9;5;5;10;1;1 
0.145000;8.000000;5;7;3;4;7;5;6;9;1;3;1;1 
0.150000;8.000000;3;8;4;10;7;8;9;3;8;10;1;1 
